"filename", "language", "Dart", "YAML", "Markdown", "C++", "Swift", "XML", "HTML", "Properties", "JSON", "Log", "Groovy", "JavaScript", "Java", "comment", "blank", "total"
"c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__com_squareup_okhttp_okhttp_2_7_5.xml", "XML", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__com_squareup_okio_okio_1_13_0.xml", "XML", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__io_flutter_arm64_v8a_debug_1_0_0_40441def692f444660a11e20fac37af9050245ab.xml", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9
"c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__io_flutter_armeabi_v7a_debug_1_0_0_40441def692f444660a11e20fac37af9050245ab.xml", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9
"c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__io_flutter_flutter_embedding_debug_1_0_0_40441def692f444660a11e20fac37af9050245ab.xml", "XML", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11
"c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__io_flutter_x86_64_debug_1_0_0_40441def692f444660a11e20fac37af9050245ab.xml", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9
"c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__io_flutter_x86_debug_1_0_0_40441def692f444660a11e20fac37af9050245ab.xml", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9
"c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__io_grpc_grpc_android_1_28_0_aar.xml", "XML", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15
"c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__io_grpc_grpc_api_1_28_0.xml", "XML", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__io_grpc_grpc_context_1_28_0.xml", "XML", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
